"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Успешная регистрация пользователя","8181","registrationUserTest","","Tue Nov 25 02:39:21 MSK 2025","passed","Tue Nov 25 02:39:30 MSK 2025","","RegistrationUserTest","RegistrationUserTest","registrationUserTest"
"Проверка разделоа при переключении с хлеба на начинку","2568","switchFilling","","Tue Nov 25 02:39:36 MSK 2025","passed","Tue Nov 25 02:39:39 MSK 2025","","SwitchFillingSauceBreadTest","SwitchFillingSauceBreadTest","switchFilling"
"Проверка разделоа при переключении с хлеба на соус и обратно","3293","switchBreadt","","Tue Nov 25 02:39:33 MSK 2025","passed","Tue Nov 25 02:39:36 MSK 2025","","SwitchFillingSauceBreadTest","SwitchFillingSauceBreadTest","switchBreadt"
"Проверяет переход к форме входа через страницу регистрации и авторизацию","3618","loginViaRegistrationPage","","Tue Nov 25 02:39:52 MSK 2025","passed","Tue Nov 25 02:39:56 MSK 2025","","UserLoginTest","UserLoginTest","loginViaRegistrationPage"
"Проверяет переход к форме входа через кнопку 'Войти в аккаунт' и авторизацию","3355","loginViaAccountButton","","Tue Nov 25 02:39:41 MSK 2025","passed","Tue Nov 25 02:39:45 MSK 2025","","UserLoginTest","UserLoginTest","loginViaAccountButton"
"Проверяет переход к форме входа через ссылку 'Восстановить пароль' и авторизацию","3680","loginViaPasswordRecovery","","Tue Nov 25 02:39:45 MSK 2025","passed","Tue Nov 25 02:39:48 MSK 2025","","UserLoginTest","UserLoginTest","loginViaPasswordRecovery"
"Проверяет переход к форме входа через Личный кабинет и успешную авторизацию","3681","loginPrivateCabinet","","Tue Nov 25 02:39:48 MSK 2025","passed","Tue Nov 25 02:39:52 MSK 2025","","UserLoginTest","UserLoginTest","loginPrivateCabinet"
"Ввод пользователем некорректного пароля, менее шести символов","3252","registerUserBadPasswordTest","","Tue Nov 25 02:39:30 MSK 2025","passed","Tue Nov 25 02:39:33 MSK 2025","","RegistrationUserTest","RegistrationUserTest","registerUserBadPasswordTest"
"Проверка разделоа при переключении с хлеба на соус","2584","switchSauce","","Tue Nov 25 02:39:39 MSK 2025","passed","Tue Nov 25 02:39:41 MSK 2025","","SwitchFillingSauceBreadTest","SwitchFillingSauceBreadTest","switchSauce"
